"id","name","gender","school_level","shift","student_drop_count"
1106023,"Dilshad Garden, Block J&K-SKV (St. Eknath)","Girls","Sarvodaya Sr.Secondary","Morning",135
1413026,"Rithala-SKV","Girls","Sarvodaya Sr.Secondary","Morning",134
1002025,"Trilokpuri, Block 20-SKV (Sharda Sen)","Girls","Sarvodaya Sr.Secondary","Morning",134
1207008,"Shankaracharya Marg,Shahed Bhai Bal Mukand-SV","Co-ed","Sarvodaya Sr.Secondary","General",134
1002368,"Mandawali, No.1- SKV","Girls","Sarvodaya Sr.Secondary","Morning",134
1310045,"Samaipur-GGSSS","Girls","Sr.Secondary","General",133
1821006,"Sagarpur, No.1-GBSSS","Boys","Sr.Secondary","Evening",133
1514005,"Tilak Nagar, No.1-SBV","Boys","Sarvodaya Sr.Secondary","General",133
1309254,"Jahangirpuri, Block A, No.2 - SKV","Girls","Sarvodaya Sr.Secondary","Morning",133
2128020,"Prasad Nagar-SKV (Baba Ramdev)","Girls","Sarvodaya Sr.Secondary","General",132
1104018,"Yamuna Vihar, Block C, No.1-SKV","Girls","Sarvodaya Sr.Secondary","Morning",132
1002006,"Mayur Vihar, Phase I, Pkt. II-SBV (Prem Chand)","Boys","Sarvodaya Sr.Secondary","Evening",132
1925027,"Tekhand - GGSSS","Girls","Sr.Secondary","Morning",131
1924025,"Defence Colony, Block A- SN SKV","Girls","Sarvodaya Sr.Secondary","General",131
1821007,"Sagarpur, No.2-GBSSS","Boys","Sr.Secondary","Evening",131
1106117,"Saboli- GGSSS","Girls","Sr.Secondary","Morning",131
